-6.7589465622887221485371	-5.5164473509382370153276	-8.4463949598001200058661	-7.8364977108275883921351	3.5637887727731309972512	-6.2480476652144503191266	84117.279375	84125.844775	0.000000	1.000000
-6.7437011771211947674942	-5.5593851486707102083074	-8.4610839218304150222139	-7.8402622709639091524991	3.5493743319755539644689	-6.2641364544427036165075	84218.246848	84226.812248	0.678000	1.000000
-6.7340411444622017000938	-5.7160471059319055697756	-8.4755103603137360579467	-7.7407822321776951213224	3.5458492591375971869638	-6.2970308591471111370197	84366.145224	84374.710624	0.678000	1.000000
-6.7447183341802707801094	-5.6920042398864501009825	-8.4862686831665428144333	-7.6875811196841565831051	3.5692139819528878597055	-6.3259000363119159970893	84433.573350	84442.138749	0.678000	1.000000
-6.7365813001381082969488	-5.6961239371954013321897	-8.4937338122959769037834	-7.6672399488907876374810	3.5742104347882910353462	-6.3414108677069194186515	84481.489878	84490.055278	0.678000	1.000000
-6.7284666572107711957074	-5.7362838132850679784269	-8.4800169650267012144695	-7.6771879942833196608376	3.5608228713945071497449	-6.3475114856367467197629	84529.745173	84538.310573	0.678000	1.000000
-6.6762080673652102191795	-5.7411413629544050252207	-8.4736152494595078366046	-7.7305414789559518951023	3.5790470883045397698652	-6.3662327807240233212838	84560.080304	84568.645704	0.678000	1.000000
-6.6778347236005783926771	-5.7326168182809258411226	-8.4729962709653108277053	-7.7101602734018159779339	3.5342483429451618803796	-6.3689778929970657372905	84655.885374	84664.450773	0.678000	1.000000
-6.7018284238937093633126	-5.7399929659927249048224	-8.4933250418889532085132	-7.7110885825429100748352	3.5382172543716765567012	-6.3937530451381663354482	84729.362125	84737.927524	0.678000	1.000000
-6.7018284238937093633126	-5.7147296538957519373980	-8.4605253581857926548082	-7.7110885825429100748352	3.5243543500772820387112	-6.3937530451381663354482	84756.026618	84764.592018	0.678000	1.000000
-6.6976826319094815431754	-5.7006858558240294243546	-8.4447956808976343268114	-7.7456534756641488570494	3.4698612885053163878979	-6.3979368508285547889614	84875.477511	84884.042910	0.678000	1.000000
-6.7424348680752181905973	-5.7014588065399918193066	-8.4440820311543287601808	-7.7487172171329463665757	3.4666825123835778299508	-6.4028822431168421758230	84897.069683	84905.635083	0.678000	1.000000
-6.7456399022669311094091	-5.7065427811246598466255	-8.4761464105547492664527	-7.7672289758880612708936	3.4110469363331392678163	-6.4125007898071793022154	85036.250680	85044.816080	0.678000	1.000000
-6.7380339225289382909523	-5.7102128984385682741731	-8.4950648431534556692668	-7.7579301776611702123887	3.3926403470940318385374	-6.4233437225504728118608	85104.829011	85113.394410	0.678000	1.000000
-6.7380339225289382909523	-5.7224817457321695002292	-8.4950648431534556692668	-7.7626147418018991430699	3.3926403470940318385374	-6.4233437225504728118608	85104.915752	85113.481151	0.678000	1.000000
-6.7169900658163701478998	-5.7268201596396126618060	-8.4728485983999171082814	-7.7626147418018991430699	3.3836216281291671137410	-6.4334210821063519958329	85151.707098	85160.272498	0.678000	1.000000
